Card ID,Title,List,Status,Priority,Sprint,Area,Description
C035,Ajustar User cart para hasOne,A Fazer,Todo,Média,S4,Domínio,Trocar relação de carts hasMany para cart hasOne.
C036,Garantir unique user_id em carts,A Fazer,Todo,Média,S4,Banco,Adicionar restrição única para um carrinho por usuário.
C037,Adicionar campo phone em users,A Fazer,Todo,Média,S2,Auth,Migration model form e validação para telefone.
C038,Criar Rule CpfValido reutilizável,A Fazer,Todo,Alta,S2,Validação,Criar app/Rules/CpfValido e usar nos requests.
C039,Criar mutator e accessor de CPF,A Fazer,Todo,Alta,S2,Domínio,Salvar sem máscara e exibir com máscara.
C040,Migrar validações inline para FormRequests,A Fazer,Todo,Alta,S5,Arquitetura,Padronizar validações em requests dedicados.
C041,Substituir closures de checkout por controllers,A Fazer,Todo,Alta,S4,Arquitetura,Organizar rotas de checkout em controllers.
C042,Configurar locale pt_BR,A Fazer,Todo,Alta,S7,Configuração,"Definir APP_LOCALE e fallback para pt_BR."
C043,Configurar timezone America Sao_Paulo,A Fazer,Todo,Alta,S7,Configuração,Ajustar config/app.php e ambiente.
C044,Adicionar traduções pt-BR,A Fazer,Todo,Média,S7,I18n,Publicar arquivos lang e padronizar mensagens.
C045,Padronizar máscara de telefone e CEP,A Fazer,Todo,Média,S7,UX BR,Aplicar máscara no front e normalização no backend.
C046,Resolver duplicidade QUEUE_CONNECTION,A Fazer,Todo,Média,S7,Configuração,Remover chave duplicada no .env e validar fila.
C047,Migrar testes para PestPHP,A Fazer,Todo,Média,S6,Testes,Criar tests/Pest.php e converter gradualmente testes.
C048,Testar checkout completo com jobs,A Fazer,Todo,Alta,S6,Testes,"Cobrir pedido itens estoque limpeza de carrinho e dispatch de jobs."
C049,Testar máquina de estados de Order,A Fazer,Todo,Alta,S6,Testes,Cobrir transições e restrições de cancelamento/envio.
C050,Testar permissões de pedidos,A Fazer,Todo,Alta,S6,Testes,Validar acessos cliente e admin em endpoints de pedido.
C051,Criar README técnico do produto,A Fazer,Todo,Média,S7,Documentação,Documentação funcional e técnica do sistema.
C052,Preparar documentação final do TCC,A Fazer,Todo,Alta,S7,Documentação,"Checklist final de deploy, arquitetura e evidências."
